story_date;story_sequence_index;filename;is_meme;topic_primary;meme_type;source_mode;external_source_account;tone;ideological_target;notes;
12.01.2025;1;9489;1;jesus;video with caption;repost;unattributed;funny;church;jesus video on jesus sculture;
12.01.2025;2;9490;0;everydaylife;screenshot;repost;unattributed;funny;;marzipan day ;
12.01.2025;3;9491;0;reply;screenshot;reply;kosciolowskiprzemek;quirky;;reply to story #9483;
12.01.2025;4;9492;1;trzaskowski;video with caption;repost;unattributed;funny;;"Czaskoski; snowplough driving throgh enormous drifts, forest in background";
12.01.2025;5;9493;1;poland,army,ikea;photoshop;repost;szwagierkolaska;funny;;photoshop of ikea listing format but with the lost landmine (logo, swedish name included);
12.01.2025;6;9494;0;selfrefential;screenshot;repost;tvn ;quirky;;jakobe apologises for not posting lately: they were at a morning tv show (he links karolina's dad's jewellery shop);
12.01.2025;7;9495;0;selfrefential;screenshot;repost;Karolina's mum;funny;;karolina's dad webpage crash;
12.01.2025;8;9496;1;selfrefential;screenshot;reply;wojciechzurawski91;funny;;"photo of tvn show with jakobe on screen w caption ""pov: wlacze sobie tc zeby zobaczyc cos innego niz mlh""";
12.01.2025;9;9497;1;selfrefential;screenshot;repost;iwonka911;quirky;;"photo of tvn show w jakobe holding hands outstreched w caption ""rece, ktore leczo""";
12.01.2025;10;9498;1;selfrefential;screenshot;repost;patelke;funny;;"photo of tvn show w jakobe smiling, eyes closed, apparantly smug w caption ""Kiedy mozesz opowiedziec o sobie w telewizorni""";
12.01.2025;11;9499;1;selfrefential;photoshop;original;;funny;;inside of fridge with smiling jakobe and karolina pasted in to suggest they're everywhere on media;
12.01.2025;12;9500;1;selfrefential;screenshot;reply;sosohanys;funny;;"reply to story #99497 w message ""Pierwsza para polskiego internetu! Jakie to uczucie pokonac Jaszczura i Ludwiczka""";
12.01.2025;13;9501;1;selfrefential;photoshop;repost;angielski_z_bozena;funny;;"photo of tvn show w jakobe gesturing at karolina, as if mansplaining, two more photos of similar situations: dudes gesturing at girls, saying something ""important"", girls moving away";
12.01.2025;14;9502;1;selfrefential;screenshot;reply;mateusz.miszewski;funny;;meme w winnie the pooh sitting in armchair: upper photo: red t shirt, lower tuxedo, captions parallel Kult zapierdolu and Kult pracowania ponad miare. jakobe's reaction: heart;
12.01.2025;15;9503;1;selfrefential;screenshot;reply;marcinn79;funny;;"reply to story #9494 w message ""Zawsze na czyichś plecach""";
12.01.2025;16;9504;1;everydaylife;screenshot;repost;unattributed;quirky;;congratulating on successfully baking a pie shaped like lizard;
12.01.2025;17;9505;1;selfrefential;photoshop;repost;bosieporycze;funny;;"2 photos: karolina and jakobe on top and marianna schreiber with przemyslaw czarnecki. both captioned ""Pierwsza para polskiego internetu"", headshot of pam beesly (signifier of comparing 2 photos and concluding they're identical)";
12.01.2025;18;9506;0;news,history;screenshot;repost;glos_z_twojej_szafy;informative;;anniversary of first insulin shot as treatment for diabetes;
12.01.2025;19;9507;0;selfrefential;screenshot;reply;gonia_kc;funny;;message cricisizing jakobe for stressing dadinlaw out because of his crashed webpage;
12.01.2025;20;9508;1;everydaylife;screenshot;repost;czystyojciec;funny;;toilet brush stand in the shape of the sculpture of david;
12.01.2025;21;9509;0;politics,poland;screenshot;repost;fakt.pl;shocking;;taxing childless couples;
12.01.2025;22;9510;1;everydaylife;screenshot;repost;unattributed;funny;;typo: company impregnates (zapłodni) instead of employs (zatrudni);
12.01.2025;23;9511;1;catholic;macro;original;;funny;;"template meme of awkward look monkey puppet captioned ""Episkopat:""";
12.01.2025;24;9512;1;everydaylife;screenshot;repost;unattributed;funny;;"dictionary explanation of ""Dzban Schrodingera""";
12.01.2025;25;9513;1;ai,politics;video with caption;repost;piotrek_krs;funny;;"beaver as polish president (reference to meme ""bobr kurwa"")";
12.01.2025;26;9514;1;selfrefential;photo with caption;repost;tomislav_beezone;funny;;"two marzipan chocolate bars merci captioned ""no, merci""";
12.01.2025;27;9515;0;szczesny;screenshot;repost;barca_infopol;informative;football;;
12.01.2025;28;9516;0;football,barcelona;photo with caption;original;;informative;football;;
12.01.2025;29;9517;0;football,barcelona;photo with caption;original;;informative;football;;
12.01.2025;30;9518;0;football,barcelona;photo with caption;original;;informative;football;;
12.01.2025;31;9519;0;football,barcelona;photo with caption;original;;informative;football;;
